Kommune_Nummer;Kommune;Kolonne1
480;Aabenraa;10
791;Aalborg;2
330;Aarhus;6
350;Ærø;13
400;Albertslund;19
710;Allerød;19
849;Assens;12
851;Ballerup;19
360;Billund;7
167;Bornholm;13
751;Brøndby;19
550;Brønderslev;1
183;Christiansø;13
165;Dragør;19
250;Egedal;19
410;Esbjerg;9
101;Faaborg-Midtfyn;12
773;Fanø;9
230;Favrskov;6
510;Faxe;17
320;Fredensborg;19
450;Fredericia;11
580;Frederiksberg;19
787;Frederikshavn;1
190;Frederikssund;18
563;Furesø;19
201;Gentofte;19
420;Gladsaxe;19
151;Glostrup;19
157;Greve;17
376;Gribskov;19
661;Guldborgsund;15
665;Haderslev;10
161;Halsnæs;18
336;Hedensted;11
210;Helsingør;19
530;Herlev;19
175;Herning;7
607;Hillerød;19
390;Hjørring;1
810;Høje-Taastrup;19
223;Holbæk;18
730;Holstebro;8
727;Horsens;11
147;Hørsholm;19
153;Hvidovre;19
269;Ikast-Brande;7
240;Ishøj;19
820;Jammerbugt;2
260;Kalundborg;18
259;Kerteminde;12
492;København;19
159;Køge;17
461;Kolding;10
573;Læsø;1
482;Langeland;14
219;Lejre;18
840;Lemvig;3
860;Lolland;14
411;Lyngby-Taarbæk;19
630;Mariagerfjord;2
756;Middelfart;10
671;Morsø;12
316;Næstved;16
265;Norddjurs;5
825;Nordfyns;12
326;Nyborg;12
540;Odder;11
440;Odense;12
169;Odsherred;18
741;Randers;6
575;Rebild;2
340;Ringkøbing-Skjern;8
766;Ringsted;18
155;Rødovre;19
253;Roskilde;17
813;Rudersdal;19
746;Samsø;11
740;Silkeborg;7
779;Skanderborg;6
479;Skive;4
217;Slagelse;16
270;Solrød;17
173;Sønderborg;10
657;Sorø;16
163;Stevns;17
760;Struer;3
621;Svendborg;12
329;Syddjurs;5
561;Tårnby;19
706;Thisted;3
846;Tønder;9
430;Vallensbæk;19
370;Varde;8
707;Vejen;9
306;Vejle;11
187;Vesthimmerlands;4
185;Viborg;6
615;Vordingborg;15
